Longitude,Latitude,Espèce,DHP,Hauteur,Volume
-68.014589,51.05035511,C,20,18,0.239264869
-68.01458869,51.05171516,C,20,16,0.217997829
-68.01458836,51.05235307,C,22,14,0.236724366
-68.01458771,51.05163045,C,22,16,0.263777373
-68.01458758,51.05170208,F,24,17,0.329418216
-68.01458694,51.05102381,C,20,15,0.206960431
-68.01458686,51.05199341,C,16,17,0.146408096
-68.0145865,51.05157934,C,20,15,0.206960431
-68.01458643,51.05004787,C,26,17,0.386608879
-68.01458591,51.04983827,C,20,18,0.239264869
-68.01458586,51.05086297,C,14,15,0.101410611
-68.01458517,51.05327886,F,14,16,0.106818936
-68.01458454,51.05312205,C,16,14,0.125209582
-68.01458368,51.05187902,C,14,15,0.101410611
-68.01458262,51.05006156,C,22,14,0.236724366
-68.01458221,51.05279788,F,20,17,0.22876265
-68.01458204,51.05042454,C,14,18,0.117239786
-68.01458155,51.05087497,C,18,18,0.193804544
-68.01458111,51.05367407,C,16,15,0.132454676
-68.01458109,51.05336059,C,14,18,0.117239786
-68.01458057,51.05418204,C,24,16,0.313916874
-68.01458055,51.05328987,C,26,17,0.386608879
-68.01458011,51.05098171,C,16,15,0.132454676
-68.0145791,51.05358946,C,26,16,0.368416331
-68.01457877,51.0539531,C,16,15,0.132454676
-68.01457719,51.05306058,C,20,16,0.217997829
-68.01457674,51.05206549,C,26,14,0.330631552
-68.01457651,51.05289043,C,24,14,0.281721559
-68.01457623,51.05090557,F,14,15,0.101410611
-68.01457619,51.05235594,C,20,14,0.195639972
-68.01457565,51.05003992,C,20,17,0.22876265
-68.01457531,51.05373628,F,16,16,0.13951861
-68.01457505,51.0512115,C,26,17,0.386608879
-68.01457478,51.05054483,C,24,17,0.329418216
-68.01457474,51.05032344,C,24,14,0.281721559
-68.01457457,51.05195301,C,14,18,0.117239786
-68.01457432,51.05272646,C,22,18,0.289510491
-68.01457364,51.05289475,F,14,16,0.106818936
-68.01457332,51.05129007,C,26,17,0.386608879
-68.0145727,51.05057977,C,24,16,0.313916874
-68.01457195,51.0500728,C,16,17,0.146408096
-68.01457178,51.05217982,C,16,15,0.132454676
-68.01457155,51.05165533,F,24,16,0.313916874
-68.01457079,51.05336122,C,14,17,0.112093699
-68.01457047,51.05362846,C,18,15,0.167637949
-68.01456975,51.05195981,C,20,14,0.195639972
-68.01456892,51.0506616,C,18,16,0.176578241
-68.01456855,51.05067712,C,24,18,0.344541411
-68.0145678,51.05169189,C,26,15,0.349763129
-68.01456742,51.05045913,C,26,15,0.349763129
-68.01456695,51.05115311,C,26,17,0.386608879
-68.01456639,51.05129408,C,14,15,0.101410611
-68.01456619,51.05337292,C,14,14,0.095863586
-68.01456604,51.05280547,C,20,15,0.206960431
-68.01456563,51.05095006,C,22,14,0.236724366
-68.01456482,51.0509983,C,16,14,0.125209582
-68.01456465,51.0512733,F,18,18,0.193804544
-68.01456403,51.04998939,F,26,14,0.330631552
-68.01456385,51.05235305,C,14,16,0.106818936
-68.01456348,51.05353485,C,24,14,0.281721559
-68.01456304,51.05009463,C,18,18,0.193804544
-68.01456299,51.05186174,F,24,15,0.298023021
-68.01456271,51.05375939,C,20,14,0.195639972
-68.01456232,51.05287981,C,26,15,0.349763129
-68.01456192,51.05048823,C,16,15,0.132454676
-68.0145611,51.04987598,C,24,17,0.329418216
-68.01456046,51.05190837,C,16,14,0.125209582
-68.01456032,51.05299274,C,24,16,0.313916874
-68.01455994,51.05328988,C,26,16,0.368416331
-68.0145599,51.05403749,C,22,15,0.250422122
-68.01455903,51.05051785,C,16,18,0.153129516
-68.01455895,51.04978598,C,24,18,0.344541411
-68.01455888,51.05174854,C,20,18,0.239264869
-68.0145579,51.0502115,C,16,16,0.13951861
-68.01455783,51.05189383,C,16,15,0.132454676
-68.01455749,51.05263808,C,26,18,0.404357629
-68.01455695,51.05320508,C,18,14,0.158468377
-68.01455662,51.05083739,F,26,18,0.404357629
-68.01455625,51.05011183,C,20,17,0.22876265
-68.01455616,51.0506627,C,16,16,0.13951861
-68.01455552,51.0537029,C,26,17,0.386608879
-68.01455499,51.05097479,C,26,15,0.349763129
-68.0145545,51.05066653,C,26,14,0.330631552
-68.01455439,51.05008387,C,22,17,0.276802807
-68.01455418,51.05196653,F,14,15,0.101410611
-68.0145537,51.05017103,F,20,17,0.22876265
-68.01455333,51.0528821,C,20,18,0.239264869
-68.0145533,51.05019056,C,24,14,0.281721559
-68.01455308,51.05016124,C,22,17,0.276802807
-68.01455295,51.05361851,C,26,18,0.404357629
-68.01455231,51.05195791,C,26,18,0.404357629
-68.01455167,51.05380823,C,20,17,0.22876265
-68.01455156,51.05155341,C,14,16,0.106818936
-68.01455102,51.05212538,C,20,14,0.195639972
-68.01455038,51.05121277,C,18,17,0.185297747
-68.01455034,51.05054963,F,24,15,0.298023021
-68.01454974,51.05014112,C,14,15,0.101410611
-68.01454916,51.05144299,C,18,18,0.193804544
-68.01454893,51.05305861,C,24,16,0.313916874
-68.01454864,51.05208884,C,14,17,0.112093699
-68.01454861,51.05139694,C,24,16,0.313916874
-68.01454826,51.05088438,C,14,15,0.101410611
-68.01454825,51.05267322,C,24,16,0.313916874
-68.01454805,51.05368574,C,20,16,0.217997829
-68.01454787,51.05117452,C,20,14,0.195639972
-68.0145478,51.05260699,C,26,18,0.404357629
-68.0145466,51.05196439,F,16,18,0.153129516
-68.01454638,51.0501853,F,16,18,0.153129516
-68.01454616,51.05346885,C,24,16,0.313916874
-68.01454607,51.05171761,C,20,14,0.195639972
-68.01454434,51.05174216,F,22,14,0.236724366
-68.01454417,51.05320005,C,16,16,0.13951861
-68.01454363,51.05217411,C,26,15,0.349763129
-68.01454338,51.05360059,F,18,16,0.176578241
-68.01454294,51.05051632,C,26,17,0.386608879
-68.01454224,51.05077487,C,24,17,0.329418216
-68.01454222,51.05228298,F,22,15,0.250422122
-68.01454221,51.05277579,C,16,14,0.125209582
-68.01454106,51.0535416,C,18,18,0.193804544
-68.01454028,51.04977708,C,16,17,0.146408096
-68.01453917,51.04979421,C,22,15,0.250422122
-68.01453856,51.05328008,C,14,16,0.106818936
-68.01453846,51.05167056,C,16,14,0.125209582
-68.01453739,51.05255196,F,20,18,0.239264869
-68.01453653,51.05044788,C,20,17,0.22876265
-68.01453636,51.05386738,C,18,17,0.185297747
-68.01453579,51.05334684,C,22,15,0.250422122
-68.01453546,51.05334421,C,22,16,0.263777373
-68.0145352,51.05223945,C,26,16,0.368416331
-68.01453498,51.04981416,C,24,17,0.329418216
-68.01453456,51.05053541,C,14,18,0.117239786
-68.01453432,51.05064463,C,18,15,0.167637949
-68.01453306,51.05093035,C,26,16,0.368416331
-68.01453294,51.05228046,C,26,17,0.386608879
-68.01453162,51.05058437,C,14,15,0.101410611
-68.01453088,51.05012904,F,20,17,0.22876265
-68.01453078,51.05356424,F,20,17,0.22876265
-68.01453074,51.051458,C,18,17,0.185297747
-68.01453048,51.05225765,F,14,15,0.101410611
-68.01453031,51.05287325,C,24,16,0.313916874
-68.01453018,51.05096515,C,20,18,0.239264869
-68.01453012,51.05346215,F,18,18,0.193804544
-68.01452947,51.0509122,C,16,18,0.153129516
-68.01452929,51.0533752,F,20,15,0.206960431
-68.01452859,51.05075171,C,18,16,0.176578241
-68.01452851,51.05350369,C,24,16,0.313916874
-68.01452799,51.05075921,C,14,14,0.095863586
-68.01452769,51.05186146,C,18,15,0.167637949
-68.01452676,51.05131604,C,24,16,0.313916874
-68.01452486,51.05330977,F,20,17,0.22876265
-68.01452425,51.0527145,C,22,17,0.276802807
-68.01452419,51.0510912,F,22,17,0.276802807
-68.014524,51.05133648,C,22,15,0.250422122
-68.01452377,51.05257494,C,20,17,0.22876265
-68.01452307,51.05021902,C,16,14,0.125209582
-68.01452285,51.05195198,F,16,14,0.125209582
-68.01452232,51.05029031,F,20,14,0.195639972
-68.01452217,51.05212845,F,20,16,0.217997829
-68.01452195,51.05204475,C,18,18,0.193804544
-68.0145215,51.05329825,F,14,15,0.101410611
-68.01452144,51.04996019,C,14,16,0.106818936
-68.01452136,51.05407051,C,18,16,0.176578241
-68.01452134,51.05146883,C,16,16,0.13951861
-68.01452129,51.05275516,F,18,17,0.185297747
-68.01452112,51.05023147,C,24,14,0.281721559
-68.01452111,51.05195056,C,14,14,0.095863586
-68.01452098,51.05181804,F,14,14,0.095863586
-68.01452051,51.05072783,F,20,16,0.217997829
-68.01452005,51.05344076,F,14,18,0.117239786
-68.01451927,51.05149498,C,24,17,0.329418216
-68.01451891,51.0510121,C,22,18,0.289510491
-68.01451881,51.05042351,F,14,17,0.112093699
-68.01451784,51.05295409,C,18,16,0.176578241
-68.01451734,51.05394787,C,14,16,0.106818936
-68.01451696,51.04979414,C,16,17,0.146408096
-68.01451609,51.05404719,C,20,17,0.22876265
-68.01451584,51.05292938,C,16,18,0.153129516
-68.0145156,51.05160122,F,20,14,0.195639972
-68.01451541,51.05067465,C,16,16,0.13951861
-68.01451424,51.05075269,C,20,15,0.206960431
-68.01451398,51.05112209,F,24,17,0.329418216
-68.01451393,51.05290752,F,14,14,0.095863586
-68.01451327,51.0515683,C,26,16,0.368416331
-68.01451308,51.05234022,F,16,14,0.125209582
-68.01451269,51.05377871,C,26,15,0.349763129
-68.01451245,51.05169385,C,24,14,0.281721559
-68.01451244,51.05238896,C,20,18,0.239264869
-68.01451088,51.05398104,C,14,16,0.106818936
-68.01451032,51.05124705,C,14,16,0.106818936
-68.01450889,51.05209342,C,20,18,0.239264869
-68.01450827,51.04973215,F,18,18,0.193804544
-68.01450796,51.05022447,C,14,14,0.095863586
-68.01450746,51.05408124,F,18,16,0.176578241
-68.01450699,51.05221172,C,18,17,0.185297747
-68.01450641,51.05061038,C,14,15,0.101410611
-68.01450607,51.05066835,C,24,18,0.344541411
-68.01450572,51.05383154,C,16,17,0.146408096
-68.01450529,51.05321332,C,26,15,0.349763129
-68.01450511,51.0501964,F,16,14,0.125209582
-68.01450493,51.05237223,C,24,14,0.281721559
-68.01450461,51.05410264,C,20,16,0.217997829
-68.01450458,51.05341526,C,16,17,0.146408096
-68.01450455,51.05337848,C,18,15,0.167637949
-68.01450405,51.05111746,C,22,15,0.250422122
-68.01450387,51.05063445,C,26,14,0.330631552
-68.01450219,51.05075742,C,16,15,0.132454676
-68.01450207,51.05195705,C,14,16,0.106818936
-68.01450099,51.05212733,C,20,14,0.195639972
-68.01450086,51.05220885,C,20,18,0.239264869
-68.01450045,51.05016224,F,20,18,0.239264869
-68.01449948,51.05290078,F,16,14,0.125209582
-68.01449864,51.05171885,C,22,14,0.236724366
-68.01449838,51.05377982,F,14,15,0.101410611
-68.01449821,51.0505529,C,22,14,0.236724366
-68.01449789,51.05119085,C,16,14,0.125209582
-68.01449775,51.05234837,C,26,16,0.368416331
-68.01449755,51.05351354,C,22,17,0.276802807
-68.01449755,51.05152364,C,14,15,0.101410611
-68.014496,51.05116454,C,24,15,0.298023021
-68.0144955,51.05310305,C,26,15,0.349763129
-68.01449545,51.05390526,C,16,14,0.125209582
-68.01449542,51.05263752,C,24,17,0.329418216
-68.01449533,51.05308559,C,26,15,0.349763129
-68.01449386,51.05366793,C,22,15,0.250422122
-68.01449375,51.0529576,C,26,14,0.330631552
-68.01449262,51.04989139,C,16,15,0.132454676
-68.01449223,51.0511268,C,24,15,0.298023021
-68.01449053,51.05178641,C,18,14,0.158468377
-68.01449001,51.05251707,C,20,15,0.206960431
-68.01448969,51.05105558,C,20,17,0.22876265
-68.01448838,51.05029525,F,18,16,0.176578241
-68.01448755,51.05268287,F,20,16,0.217997829
-68.01448748,51.05213973,F,18,14,0.158468377
-68.01448688,51.04999553,C,26,18,0.404357629
-68.01448663,51.05129926,C,20,16,0.217997829
-68.01448597,51.0502214,C,16,17,0.146408096
-68.01448549,51.05169404,F,16,14,0.125209582
-68.01448546,51.05359667,F,24,16,0.313916874
-68.01448469,51.05317407,C,24,14,0.281721559
-68.0144845,51.05239689,F,20,17,0.22876265
-68.01448424,51.05191384,C,18,17,0.185297747
-68.014484,51.05244087,C,18,14,0.158468377
-68.0144838,51.05224953,F,26,17,0.386608879
-68.01448189,51.05015472,C,22,14,0.236724366
-68.01448178,51.05129615,F,14,15,0.101410611
-68.01448123,51.05109102,C,22,18,0.289510491
-68.01448096,51.05118893,C,14,15,0.101410611
-68.01448086,51.05252734,C,16,17,0.146408096
-68.01448057,51.05180896,C,24,15,0.298023021
-68.01448025,51.05117661,C,22,15,0.250422122
-68.01447974,51.05278894,F,20,15,0.206960431
-68.0144789,51.05064158,C,24,18,0.344541411
-68.01447844,51.05304356,C,26,17,0.386608879
-68.01447789,51.05332593,C,26,16,0.368416331
-68.01447758,51.05267575,C,22,14,0.236724366
-68.01447716,51.05306835,F,18,16,0.176578241
-68.01447705,51.05360979,C,14,17,0.112093699
-68.01447624,51.04981045,C,16,16,0.13951861
-68.01447607,51.05128071,C,18,14,0.158468377
-68.01447596,51.05057934,F,22,14,0.236724366
-68.01447543,51.05093706,F,16,17,0.146408096
-68.01447486,51.05119531,C,18,14,0.158468377
-68.01447465,51.05011651,C,26,14,0.330631552
-68.0144729,51.05097324,C,14,17,0.112093699
-68.0144727,51.05385655,C,14,18,0.117239786
-68.01447261,51.05169974,C,26,15,0.349763129
-68.01447164,51.05135151,C,18,14,0.158468377
-68.01447097,51.0522694,C,14,17,0.112093699
-68.01447092,51.05000911,C,26,18,0.404357629
-68.01447052,51.053146,C,22,17,0.276802807
-68.0144704,51.05142493,C,20,17,0.22876265
-68.01446956,51.05014223,C,20,16,0.217997829
-68.0144694,51.05101433,C,14,16,0.106818936
-68.01446939,51.0540294,C,24,14,0.281721559
-68.01446898,51.05291616,C,26,17,0.386608879
-68.01446862,51.05261544,C,18,17,0.185297747
-68.01446768,51.05328329,F,20,15,0.206960431
-68.01446757,51.05097279,C,24,18,0.344541411
-68.01446731,51.05403732,C,18,15,0.167637949
-68.0144669,51.04977461,C,16,16,0.13951861
-68.01446629,51.05059223,C,24,15,0.298023021
-68.01446597,51.05274308,C,16,16,0.13951861
-68.01446583,51.0508322,C,16,15,0.132454676
-68.01446512,51.05210474,F,24,17,0.329418216
-68.01446474,51.05417783,C,18,15,0.167637949
-68.01446426,51.05268728,C,14,17,0.112093699
-68.01446389,51.05034129,C,24,14,0.281721559
-68.01446366,51.05337646,C,18,14,0.158468377
-68.01446329,51.05085968,C,16,17,0.146408096
-68.01445995,51.05102436,C,22,14,0.236724366
-68.01445986,51.0507628,C,18,16,0.176578241
-68.01445963,51.05407954,F,26,17,0.386608879
-68.01445868,51.0505605,F,24,14,0.281721559
-68.0144583,51.05239284,F,22,18,0.289510491
-68.01445806,51.05416947,C,18,16,0.176578241
-68.01445767,51.05377074,F,16,14,0.125209582
-68.01445745,51.0540967,C,16,16,0.13951861
-68.01445725,51.05104756,C,24,16,0.313916874
-68.0144571,51.05374382,C,18,15,0.167637949
-68.01445703,51.05205493,C,16,14,0.125209582
-68.014457,51.05177754,C,14,18,0.117239786
-68.01445674,51.05303122,F,26,16,0.368416331
-68.01445645,51.05108857,F,24,14,0.281721559
-68.01445617,51.0525867,C,26,14,0.330631552
-68.01445615,51.05171219,C,20,15,0.206960431
-68.01445576,51.05266497,C,26,18,0.404357629
-68.01445563,51.05081479,C,16,15,0.132454676
-68.01445537,51.05080041,C,18,18,0.193804544
-68.0144553,51.05024621,C,22,15,0.250422122
-68.0144544,51.0538773,C,14,15,0.101410611
-68.01445383,51.05160846,C,26,17,0.386608879
-68.01445381,51.05192284,C,18,14,0.158468377
-68.01445338,51.05266266,C,14,18,0.117239786
-68.01445336,51.05222974,C,20,15,0.206960431
-68.01445295,51.05021364,C,14,18,0.117239786
-68.01445234,51.05353315,C,20,16,0.217997829
-68.01445229,51.04974745,C,20,17,0.22876265
-68.01445216,51.05400162,C,24,15,0.298023021
-68.014452,51.05386174,F,22,15,0.250422122
-68.01445083,51.05139208,C,16,16,0.13951861
-68.01445061,51.0514427,C,26,15,0.349763129
-68.01445044,51.05379275,C,20,15,0.206960431
-68.01445014,51.05361613,C,14,14,0.095863586
-68.01444953,51.05316899,C,26,15,0.349763129
-68.01444858,51.05351257,F,22,15,0.250422122
-68.01444833,51.0503495,F,14,15,0.101410611
-68.0144475,51.05030958,F,16,18,0.153129516
-68.01444741,51.05239063,F,26,14,0.330631552
-68.01444714,51.05027167,C,26,17,0.386608879
-68.01444658,51.05159059,C,26,17,0.386608879
-68.01444658,51.05146858,C,26,15,0.349763129
-68.01444641,51.05099014,C,20,14,0.195639972
-68.01444612,51.05302986,C,18,15,0.167637949
-68.01444551,51.0528398,F,16,18,0.153129516
-68.01444544,51.05230352,C,14,17,0.112093699
-68.01444513,51.05215907,C,26,17,0.386608879
-68.01444471,51.04980177,C,22,18,0.289510491
-68.01444421,51.05374927,C,18,14,0.158468377
-68.01444391,51.05194077,C,22,18,0.289510491
-68.01444379,51.05215236,C,22,18,0.289510491
-68.01444367,51.05090191,C,14,16,0.106818936
-68.01444335,51.05287358,F,14,15,0.101410611
-68.01444272,51.05073552,C,14,14,0.095863586
-68.01444263,51.04978429,C,14,17,0.112093699
-68.01444179,51.05311457,F,22,14,0.236724366
-68.01444116,51.05199511,C,18,18,0.193804544
-68.01444096,51.05068955,C,24,16,0.313916874
-68.0144406,51.04996108,C,16,14,0.125209582
-68.01444003,51.05071209,C,20,14,0.195639972
-68.01443991,51.05050446,F,22,18,0.289510491
-68.01443871,51.05302738,C,24,17,0.329418216
-68.01443767,51.04982621,F,22,15,0.250422122
-68.01443756,51.05056437,F,20,14,0.195639972
-68.01443716,51.05373617,C,18,16,0.176578241
-68.01443706,51.05347018,C,24,17,0.329418216
-68.0144358,51.05047114,C,14,15,0.101410611
-68.0144352,51.05098904,C,24,18,0.344541411
-68.01443494,51.05216512,C,18,15,0.167637949
-68.01443485,51.05276411,C,18,15,0.167637949
-68.01443469,51.05154141,C,16,14,0.125209582
-68.01443378,51.04997841,C,16,17,0.146408096
-68.0144337,51.05188649,C,22,15,0.250422122
-68.01443306,51.0498054,C,20,14,0.195639972
-68.01443267,51.05190898,C,16,14,0.125209582
-68.01443263,51.05415915,C,16,17,0.146408096
-68.0144323,51.05174501,C,22,14,0.236724366
-68.01443214,51.05307338,C,22,15,0.250422122
-68.01443186,51.05276073,C,16,15,0.132454676
-68.01443112,51.05075302,F,14,16,0.106818936
-68.01443061,51.05267205,C,22,15,0.250422122
-68.01443049,51.05020949,C,14,16,0.106818936
-68.01443012,51.05322323,C,22,17,0.276802807
-68.01443002,51.05053488,C,20,14,0.195639972
-68.01442933,51.05277281,F,14,15,0.101410611
-68.01442896,51.05128528,C,24,15,0.298023021
-68.01442846,51.05414059,C,24,14,0.281721559
-68.0144283,51.05381468,F,24,17,0.329418216
-68.01442697,51.05255227,C,26,15,0.349763129
-68.01442669,51.05349065,C,22,15,0.250422122
-68.01442613,51.05271975,C,18,17,0.185297747
-68.01442567,51.05026732,F,16,18,0.153129516
-68.01442487,51.05301103,C,14,18,0.117239786
-68.01442434,51.05162805,F,20,16,0.217997829
-68.01442421,51.05300875,C,18,14,0.158468377
-68.01442331,51.05265315,C,20,14,0.195639972
-68.01442301,51.0518514,F,22,14,0.236724366
-68.01442181,51.05356451,C,16,16,0.13951861
-68.01442175,51.05245213,C,20,18,0.239264869
-68.01442167,51.05169268,C,16,17,0.146408096
-68.01442125,51.05102011,C,16,15,0.132454676
-68.0144209,51.05269331,C,14,14,0.095863586
-68.01442059,51.05270919,F,24,17,0.329418216
-68.01442034,51.05333109,C,18,15,0.167637949
-68.01441964,51.05287254,C,24,16,0.313916874
-68.01441949,51.05139722,C,24,16,0.313916874
-68.01441919,51.05253257,C,18,15,0.167637949
-68.01441914,51.04995331,C,24,15,0.298023021
-68.01441864,51.05127733,C,22,15,0.250422122
-68.01441864,51.05246802,C,20,17,0.22876265
-68.0144173,51.0521906,C,16,16,0.13951861
-68.01441527,51.05255563,F,26,17,0.386608879
-68.01441517,51.05391265,C,18,17,0.185297747
-68.0144151,51.05023038,C,22,16,0.263777373
-68.01441477,51.05043016,C,14,16,0.106818936
-68.01441379,51.05077351,C,16,16,0.13951861
-68.01441351,51.05140194,C,16,15,0.132454676
-68.01441325,51.05063979,C,20,16,0.217997829
-68.01441263,51.05189568,C,22,17,0.276802807
-68.01441241,51.0532361,C,22,15,0.250422122
-68.01441181,51.05235328,F,14,18,0.117239786
-68.01441143,51.05276842,C,14,18,0.117239786
-68.01441122,51.0509629,C,22,14,0.236724366
-68.01441084,51.05255678,C,20,15,0.206960431
-68.01441043,51.05320255,C,26,14,0.330631552
-68.01440903,51.04992664,C,20,18,0.239264869
-68.01440871,51.04995914,C,16,16,0.13951861
-68.01440866,51.0502043,C,14,14,0.095863586
-68.01440827,51.0538181,C,14,18,0.117239786
-68.01440746,51.05310582,F,20,18,0.239264869
-68.01440727,51.05031036,C,16,15,0.132454676
-68.01440693,51.05287396,C,14,18,0.117239786
-68.01440595,51.05082771,C,22,15,0.250422122
-68.01440585,51.05224938,C,18,16,0.176578241
-68.01440552,51.05174408,F,20,14,0.195639972
-68.01440497,51.05235873,C,18,14,0.158468377
-68.01440479,51.05296303,C,18,16,0.176578241
-68.0144042,51.05071864,C,22,15,0.250422122
-68.01440414,51.05199003,C,14,16,0.106818936
-68.01440397,51.05133038,F,18,14,0.158468377
-68.01440382,51.05022579,C,14,17,0.112093699
-68.0144035,51.05083923,C,20,17,0.22876265
-68.01440301,51.05047942,F,16,18,0.153129516
-68.014403,51.05299097,C,20,18,0.239264869
-68.01440272,51.0539826,C,14,18,0.117239786
-68.01440269,51.05000485,C,20,15,0.206960431
-68.01440248,51.04989878,C,14,14,0.095863586
-68.0144024,51.05071093,C,24,14,0.281721559
-68.01440235,51.05257265,F,20,16,0.217997829
-68.01440119,51.05113326,F,14,14,0.095863586
-68.01440032,51.05266602,C,20,17,0.22876265
-68.01439981,51.0541379,C,16,14,0.125209582
-68.01439966,51.04979388,C,16,16,0.13951861
-68.01439899,51.05028044,F,20,17,0.22876265
-68.01439897,51.05060902,C,26,17,0.386608879
-68.01439884,51.05393026,C,22,15,0.250422122
-68.01439837,51.05392422,C,22,14,0.236724366
-68.01439772,51.05040173,F,18,15,0.167637949
-68.0143976,51.05039902,F,14,14,0.095863586
-68.0143969,51.05097647,C,24,18,0.344541411
-68.01439689,51.05372353,F,14,14,0.095863586
-68.01439648,51.0541748,C,24,14,0.281721559
-68.01439587,51.05096214,C,14,17,0.112093699
-68.01439475,51.0497246,C,20,14,0.195639972
-68.01439401,51.05238987,C,22,18,0.289510491
-68.01439322,51.05124486,F,22,18,0.289510491
-68.01439287,51.05358883,C,22,15,0.250422122
-68.01439277,51.05340733,F,16,14,0.125209582
-68.01439235,51.05190831,C,22,14,0.236724366
-68.01439211,51.0504613,C,16,17,0.146408096
-68.0143916,51.05220377,C,24,18,0.344541411
-68.01439143,51.05138491,F,24,18,0.344541411
-68.01439131,51.05003566,F,26,18,0.404357629
-68.01439129,51.04994256,C,22,16,0.263777373
-68.01438863,51.05228708,C,18,17,0.185297747
-68.01438844,51.05267647,C,16,14,0.125209582
-68.01438755,51.05132671,C,20,17,0.22876265
-68.01438698,51.05335381,C,22,14,0.236724366
-68.01438636,51.05158455,C,20,16,0.217997829
-68.01438589,51.05045818,C,18,18,0.193804544
-68.01438582,51.05124703,F,22,17,0.276802807
-68.01438558,51.05032113,C,20,16,0.217997829
-68.01438414,51.05329747,C,20,18,0.239264869
-68.01438397,51.05152275,C,14,15,0.101410611
-68.01438378,51.05396502,C,16,18,0.153129516
-68.01438368,51.05361885,C,22,14,0.236724366
-68.01438332,51.05242625,C,14,15,0.101410611
-68.01438299,51.05002634,C,16,15,0.132454676
-68.01438296,51.0499869,F,22,16,0.263777373
-68.01438241,51.05146695,C,16,18,0.153129516
-68.01438237,51.05392376,C,14,18,0.117239786
-68.01438219,51.0541745,C,26,16,0.368416331
-68.01438105,51.05275806,F,18,16,0.176578241
